pp,psoe,distrito,seccion,cod_muni,total_votes,tract_code,share_pp,share_psoe
23,7,01,001,001,42,2800101001,0.5476190476190477,0.16666666666666666
264,80,01,001,002,575,2800201001,0.4591304347826087,0.1391304347826087
291,69,01,001,002,566,2800201001,0.5141342756183745,0.12190812720848057
290,88,01,002,002,584,2800201002,0.4965753424657534,0.1506849315068493
303,88,01,002,002,614,2800201002,0.49348534201954397,0.14332247557003258
64,30,01,001,003,168,2800301001,0.38095238095238093,0.17857142857142858
167,73,01,001,004,387,2800401001,0.4315245478036176,0.18863049095607234
206,78,01,001,004,455,2800401001,0.45274725274725275,0.17142857142857143
214,91,01,001,004,481,2800401001,0.44490644490644493,0.1891891891891892
230,85,01,002,004,507,2800401002,0.4536489151873767,0.16765285996055226
249,100,01,002,004,589,2800401002,0.4227504244482173,0.1697792869269949
282,95,01,002,004,593,2800401002,0.47554806070826305,0.16020236087689713
243,96,01,003,004,504,2800401003,0.48214285714285715,0.19047619047619047
215,73,01,003,004,440,2800401003,0.48863636363636365,0.16590909090909092
193,72,01,004,004,413,2800401004,0.46731234866828086,0.17433414043583534
198,59,01,004,004,396,2800401004,0.5,0.14898989898989898
203,53,01,001,005,428,2800501001,0.4742990654205608,0.12383177570093458
213,73,01,001,005,474,2800501001,0.44936708860759494,0.1540084388185654
223,101,01,002,005,542,2800501002,0.4114391143911439,0.1863468634686347
175,100,01,003,005,463,2800501003,0.3779697624190065,0.2159827213822894
184,96,01,003,005,492,2800501003,0.37398373983739835,0.1951219512195122
222,49,01,004,005,396,2800501004,0.5606060606060606,0.12373737373737374
202,66,01,004,005,372,2800501004,0.543010752688172,0.1774193548387097
222,57,01,005,005,428,2800501005,0.5186915887850467,0.13317757009345793
173,62,01,005,005,350,2800501005,0.4942857142857143,0.17714285714285713
156,87,01,006,005,394,2800501006,0.39593908629441626,0.22081218274111675
158,72,01,006,005,380,2800501006,0.41578947368421054,0.18947368421052632
130,95,01,007,005,355,2800501007,0.36619718309859156,0.2676056338028169
132,80,01,007,005,334,2800501007,0.39520958083832336,0.23952095808383234
144,128,01,008,005,403,2800501008,0.3573200992555831,0.3176178660049628
205,167,01,009,005,592,2800501009,0.34628378378378377,0.28209459459459457
207,87,01,010,005,478,2800501010,0.4330543933054393,0.18200836820083682
175,75,01,011,005,353,2800501011,0.49575070821529743,0.21246458923512748
182,79,01,011,005,407,2800501011,0.44717444717444715,0.1941031941031941
252,87,01,012,005,548,2800501012,0.45985401459854014,0.15875912408759124
247,82,01,012,005,501,2800501012,0.4930139720558882,0.16367265469061876
268,64,01,013,005,522,2800501013,0.5134099616858238,0.12260536398467432
206,58,01,014,005,383,2800501014,0.5378590078328982,0.1514360313315927
181,55,01,014,005,355,2800501014,0.5098591549295775,0.15492957746478872
246,65,01,015,005,553,2800501015,0.4448462929475588,0.11754068716094032
242,120,01,015,005,603,2800501015,0.4013266998341625,0.19900497512437812
216,113,01,016,005,556,2800501016,0.38848920863309355,0.20323741007194246
202,85,01,017,005,413,2800501017,0.4891041162227603,0.20581113801452786
220,111,01,018,005,536,2800501018,0.41044776119402987,0.20708955223880596
118,71,01,020,005,322,2800501020,0.36645962732919257,0.2204968944099379
107,73,01,020,005,288,2800501020,0.3715277777777778,0.2534722222222222
191,103,01,021,005,441,2800501021,0.4331065759637188,0.23356009070294784
197,70,01,021,005,383,2800501021,0.5143603133159269,0.18276762402088773
198,87,01,022,005,417,2800501022,0.4748201438848921,0.20863309352517986
215,85,01,022,005,449,2800501022,0.47884187082405344,0.18930957683741648
220,42,01,023,005,370,2800501023,0.5945945945945946,0.11351351351351352
221,48,01,023,005,382,2800501023,0.5785340314136126,0.1256544502617801
222,69,01,024,005,414,2800501024,0.5362318840579711,0.16666666666666666
200,61,01,024,005,405,2800501024,0.49382716049382713,0.1506172839506173
97,61,02,001,005,238,2800502001,0.40756302521008403,0.25630252100840334
110,77,02,001,005,300,2800502001,0.36666666666666664,0.25666666666666665
219,141,02,002,005,555,2800502002,0.3945945945945946,0.25405405405405407
130,108,02,003,005,395,2800502003,0.3291139240506329,0.27341772151898736
129,94,02,003,005,340,2800502003,0.37941176470588234,0.27647058823529413
97,63,02,004,005,230,2800502004,0.4217391304347826,0.27391304347826084
79,56,02,004,005,227,2800502004,0.34801762114537443,0.24669603524229075
145,155,02,005,005,454,2800502005,0.31938325991189426,0.34140969162995594
125,101,02,006,005,371,2800502006,0.33692722371967654,0.2722371967654987
115,87,02,006,005,353,2800502006,0.32577903682719545,0.24645892351274787
129,81,02,007,005,362,2800502007,0.356353591160221,0.22375690607734808
102,90,02,007,005,314,2800502007,0.3248407643312102,0.28662420382165604
192,76,02,008,005,441,2800502008,0.43537414965986393,0.17233560090702948
248,87,02,008,005,583,2800502008,0.42538593481989706,0.14922813036020582
219,104,02,008,005,547,2800502008,0.40036563071297987,0.19012797074954296
134,100,02,010,005,353,2800502010,0.37960339943342775,0.28328611898017
154,100,02,010,005,426,2800502010,0.3615023474178404,0.2347417840375587
87,54,02,011,005,189,2800502011,0.4603174603174603,0.2857142857142857
49,38,02,011,005,170,2800502011,0.28823529411764703,0.2235294117647059
165,84,02,012,005,398,2800502012,0.41457286432160806,0.21105527638190955
88,95,02,013,005,310,2800502013,0.2838709677419355,0.3064516129032258
